guess,guess_pool_shrink,solution_pool_shrink
NURSE,0.951988732668269,0.9438114652771622
GEARS,0.9519821726010301,0.9465844408473241
STYLE,0.9519386164185495,0.940477214522622
SHEAL,0.9519277273729294,0.9420897611128474
IRADE,0.951911976551589,0.9504676515727554
SPIER,0.9519049169868445,0.9405165858869519
SAPOR,0.9518972247252597,0.9401553396246659
RONTE,0.9518733154446626,0.9532945528504585
SCRAT,0.951817005425875,0.9441273691625186
ASPER,0.9518037520920622,0.9456482980281663
CRANE,0.9517896995622406,0.9532359622893236
STRAD,0.9517843715888483,0.9413672685882754
AIRNS,0.951765623782475,0.9474424007202533
DALES,0.9517433461937292,0.9461810243085521
SOLED,0.9517380848200043,0.9412295621101932
TILES,0.9517343885384637,0.9494509000835007
SAREE,0.9517073490734987,0.9392583815756943
SYREN,0.9517027869962817,0.9428227029094692
SCENA,0.9517009222055947,0.9421457393559702
SAMEN,0.951699523612579,0.9399137002085189
NARIS,0.9516720512497762,0.9477588643880412
MANSE,0.9516652913835348,0.9408089789101969
MAIRE,0.9516494406626933,0.9507787040103746
SPEIR,0.951640915905266,0.9398956005765761
DEALS,0.9516391510140798,0.9450135047511532
RANIS,0.9516276958712868,0.9477243444714487
RANTS,0.9516215021022185,0.9488931701878535
AIDES,0.9515780125194054,0.9445259342535535
GARES,0.9515638267902489,0.9482135943163423
LOSEN,0.9514858718795558,0.9468421273598328
CLOSE,0.9514815762010084,0.9445358237431717
SATIN,0.9514795449111526,0.9416167449584595
CREST,0.9514676901703553,0.9468475385900014
SNORT,0.9514572340225731,0.9420483372129365
ISLET,0.951448809164647,0.9483055852292075
APERS,0.9514374539213551,0.9444466317424629
TOUSE,0.951424433686378,0.9413650294585505
SWEAR,0.9514101813575541,0.9399784483763979
BLASE,0.9513811439025672,0.9403480913751522
LADES,0.9513729854433106,0.9456561349822038
SPEAT,0.9513717866492974,0.9392568888225443
LIART,0.9513639611883778,0.9539356903283589
TAILS,0.9513389530132688,0.9467633846311735
