guess,avg_correct,avg_present,avg_absent,avg_tile_score,guess_pool_shrink,solution_pool_shrink
ADSUM,0.15766738660907129,0.9879049676025918,3.854427645788337,1.3032397408207343,0.9114236078505024,0.8928296535413236
ADUKI,0.1693304535637149,0.9473002159827214,3.8833693304535637,1.285961123110151,0.8879305418748739,0.8818331008681292
ADULT,0.3200863930885529,0.9978401727861771,3.68207343412527,1.638012958963283,0.9217922436695352,0.9249760926253328
ADUNC,0.232829373650108,0.9481641468682506,3.8190064794816414,1.4138228941684665,0.8979521601269121,0.9021998516576556
ADUST,0.32397408207343414,0.9809935205183585,3.6950323974082075,1.6289416846652267,0.9355278256740386,0.9220066334218102
ADVEW,0.23542116630669546,0.9213822894168466,3.843196544276458,1.3922246220302377,0.8725823821235836,0.8743221268000504
ADYTA,0.16976241900647948,1.2436285097192226,3.586609071274298,1.5831533477321815,0.8577307561926035,0.861888426031749
ADZED,0.2626349892008639,0.920950323974082,3.816414686825054,1.44622030237581,0.8416113389929731,0.8377748648358672
ADZES,0.22721382289416847,1.0634989200863931,3.7092872570194384,1.51792656587473,0.9200116016620612,0.9064642742187536
AECIA,0.2855291576673866,1.4289416846652268,3.2855291576673866,2.0,0.9069084167993664,0.911161595193335
AEDES,0.350755939524838,1.3809935205183586,3.2682505399568034,2.0825053995680345,0.92237745494699,0.9117277218254504
AEGIS,0.2781857451403888,1.2466522678185745,3.475161987041037,1.803023758099352,0.9463966249952548,0.9396853089765776
AEONS,0.3650107991360691,1.279049676025918,3.355939524838013,2.0090712742980563,0.9579205985445308,0.9518116891901346
AERIE,0.4872570194384449,1.4587473002159828,3.0539956803455723,2.433261339092873,0.936505508791489,0.9373349691419934
AEROS,0.30842332613390927,1.459611231101512,3.231965442764579,2.0764578833693306,0.9627089481315132,0.958573860959374
AESIR,0.3598272138228942,1.396976241900648,3.243196544276458,2.1166306695464363,0.9648345431162916,0.9603114256259068
AFALD,0.31792656587473,0.9965442764578833,3.6855291576673865,1.6323974082073434,0.8369946833485514,0.8350685033750216
AFARA,0.29028077753779696,1.3386609071274298,3.371058315334773,1.9192224622030238,0.7957699887246763,0.8010865376990143
AFARS,0.2781857451403888,1.2250539956803457,3.4967602591792657,1.7814254859611232,0.8939285412208652,0.8806848005075362
AFEAR,0.30280777537796977,1.3896328293736502,3.30755939524838,1.9952483801295897,0.8974905245323206,0.9012879660771846
AFFIX,0.1468682505399568,0.7200863930885529,4.133045356371491,1.0138228941684666,0.7638461707522233,0.7625374937607584
AFIRE,0.42807775377969765,1.1511879049676026,3.4207343412527,2.007343412526998,0.9429003089558572,0.9432479509630588
AFLAJ,0.18315334773218142,0.9831533477321814,3.833693304535637,1.3494600431965442,0.7616656643416723,0.7655410996925861
AFOOT,0.3360691144708423,1.015550755939525,3.6483801295896328,1.6876889848812096,0.8674414871972129,0.8709761206144544
AFORE,0.4185745140388769,1.1719222462203023,3.409503239740821,2.0090712742980563,0.943485287134476,0.9433675578091982
AFOUL,0.27257019438444924,0.9775377969762419,3.749892008639309,1.5226781857451404,0.9072357541646436,0.9092734490528014
AFRIT,0.3123110151187905,1.0989200863930886,3.5887688984881208,1.7235421166306695,0.924338282354618,0.9299365113425916
AFROS,0.20734341252699784,1.1939524838012958,3.5987041036717065,1.6086393088552915,0.9349644257876576,0.9286318450895418
AFTER,0.3412526997840173,1.2466522678185745,3.412095032397408,1.929157667386609,0.9362366126343564,0.9416475329921772
AGAIN,0.323110151187905,1.1088552915766738,3.5680345572354213,1.7550755939524838,0.8664573439120244,0.8656725552668529
AGAMA,0.2557235421166307,1.180561555075594,3.5637149028077753,1.6920086393088554,0.7341903711532864,0.7261051737891207
AGAMI,0.232829373650108,1.090280777537797,3.676889848812095,1.555939524838013,0.8421590879575147,0.837161156697097
AGAPE,0.4034557235421166,1.1170626349892008,3.4794816414686824,1.9239740820734341,0.8832162511180419,0.8807202533948472
AGARS,0.27991360691144707,1.263498920086393,3.45658747300216,1.8233261339092872,0.9032148325451262,0.8913062989518075
AGAST,0.3818574514038877,1.0881209503239742,3.530021598272138,1.8518358531317494,0.9014340573383176,0.8819764051705237
AGATE,0.44190064794816414,1.2172786177105832,3.3408207343412526,2.1010799136069114,0.9068770150561868,0.9073606724852941
AGAVE,0.4017278617710583,1.0336933045356371,3.5645788336933046,1.8371490280777538,0.8564023925264517,0.8531183146816937
AGAZE,0.3904967602591793,0.9956803455723542,3.6138228941684667,1.7766738660907127,0.8467543651087006,0.8393653933171308
AGENE,0.4043196544276458,1.267818574514039,3.3278617710583154,2.0764578833693306,0.8961175057891761,0.8959788029052709
AGENT,0.3304535637149028,1.1736501079913606,3.4958963282937363,1.8345572354211663,0.9319738010228376,0.9361989839948872
AGERS,0.22375809935205185,1.3831533477321813,3.3930885529157666,1.830669546436285,0.9495194833997,0.9440749362081272
AGGER,0.32397408207343414,1.1455723542116631,3.530453563714903,1.7935205183585312,0.9012941314371076,0.9057162182964884
AGGIE,0.3464362850971922,1.041036717062635,3.6125269978401726,1.7339092872570194,0.8987660746622231,0.8972719003214085
AGGRI,0.1654427645788337,1.1274298056155507,3.7071274298056154,1.458315334773218,0.8779829491531519,0.8820488036982959
